02.11.2020 19:48:05;000001;000012;Programm gestartet
02.11.2020 19:48:05;000000;000000;Dateibank geöffnet
02.11.2020 19:48:05;000000;000000;Dateibank geöffnet, aber leer
02.11.2020 19:48:51;000001;000012;Programm gestartet
02.11.2020 19:48:51;000000;000000;Dateibank geöffnet
03.11.2020 07:33:27;000001;000012;Programm gestartet
03.11.2020 07:33:27;000000;000000;Dateibank geöffnet
03.11.2020 07:40:31;000001;000012;Programm gestartet
03.11.2020 07:40:31;000000;000000;Dateibank geöffnet
03.11.2020 07:46:04;000001;000012;Programm gestartet
03.11.2020 07:46:04;000000;000000;Dateibank geöffnet
03.11.2020 07:47:53;000001;000012;Programm gestartet
03.11.2020 07:47:54;000000;000000;Dateibank geöffnet
03.11.2020 09:27:10;000001;000012;Programm gestartet
03.11.2020 09:27:10;000000;000000;Dateibank geöffnet
03.11.2020 09:28:59;000001;000012;Programm gestartet
03.11.2020 09:28:59;000000;000000;Dateibank geöffnet
03.11.2020 09:32:09;000001;000012;Programm gestartet
03.11.2020 09:32:09;000000;000000;Dateibank geöffnet
03.11.2020 09:40:07;000001;000012;Programm gestartet
03.11.2020 09:40:07;000000;000000;Dateibank geöffnet
03.11.2020 09:45:45;000001;000012;Programm gestartet
03.11.2020 09:45:45;000000;000000;Dateibank geöffnet
03.11.2020 09:46:37;000001;000012;Programm gestartet
03.11.2020 09:46:37;000000;000000;Dateibank geöffnet
03.11.2020 09:48:33;000001;000012;Programm gestartet
03.11.2020 09:48:33;000000;000000;Dateibank geöffnet
03.11.2020 09:49:48;000001;000012;Programm gestartet
03.11.2020 09:49:48;000000;000000;Dateibank geöffnet
03.11.2020 09:53:20;000001;000012;Programm gestartet
03.11.2020 09:53:20;000000;000000;Dateibank geöffnet
03.11.2020 09:55:56;000001;000012;Programm gestartet
03.11.2020 09:55:56;000000;000000;Dateibank geöffnet
03.11.2020 09:56:54;000001;000012;Programm gestartet
03.11.2020 09:56:54;000000;000000;Dateibank geöffnet
03.11.2020 09:58:39;000001;000012;Programm gestartet
03.11.2020 09:58:39;000000;000000;Dateibank geöffnet
03.11.2020 09:59:55;000001;000012;Programm gestartet
03.11.2020 09:59:55;000000;000000;Dateibank geöffnet
03.11.2020 10:00:28;000001;000012;Programm gestartet
03.11.2020 10:00:28;000000;000000;Dateibank geöffnet
03.11.2020 10:06:32;000001;000012;Programm gestartet
03.11.2020 10:06:32;000000;000000;Dateibank geöffnet
03.11.2020 10:14:28;000001;000012;Programm gestartet
03.11.2020 10:14:28;000000;000000;Dateibank geöffnet
03.11.2020 10:16:13;000001;000012;Programm gestartet
03.11.2020 10:16:13;000000;000000;Dateibank geöffnet
03.11.2020 10:23:12;000001;000012;Programm gestartet
03.11.2020 10:23:12;000000;000000;Dateibank geöffnet
03.11.2020 10:39:26;000001;000012;Programm gestartet
03.11.2020 10:39:26;000000;000000;Dateibank geöffnet
03.11.2020 10:41:40;000001;000012;Programm gestartet
03.11.2020 10:41:40;000000;000000;Dateibank geöffnet
03.11.2020 10:43:53;000001;000012;Programm gestartet
03.11.2020 10:43:53;000000;000000;Dateibank geöffnet
03.11.2020 10:44:41;000001;000012;Programm gestartet
03.11.2020 10:44:41;000000;000000;Dateibank geöffnet
03.11.2020 10:52:01;000001;000012;Programm gestartet
03.11.2020 10:52:01;000000;000000;Dateibank geöffnet
03.11.2020 10:54:22;000001;000012;Programm gestartet
03.11.2020 10:54:22;000000;000000;Dateibank geöffnet
03.11.2020 10:57:47;000001;000012;Programm gestartet
03.11.2020 10:57:47;000000;000000;Dateibank geöffnet
